date,theme,title,reach,impressions,saves,shares,likes,comments,is_mock
2026-06-09,apple,"시리, 구글 제미나이 품다",2238,2452,27,4,84,0,True
2026-06-09,openai,"오픈AI, IPO 비공개 신청",1911,2070,23,8,104,0,True
2026-06-09,samsung,모든 업무에 외부 AI 전면 도입,1404,1538,14,8,55,0,True
2026-06-09,market,오픈AI에 600억 전력 장비 공급,946,1074,16,2,49,0,True
2026-06-08,anthropic,"앤트로픽, ""AI 재귀적 자기개선 임박"" 경고",974,1149,15,4,45,0,True
2026-06-08,nvidia,"젠슨 황, 한국 기업 총집결 'K-AI 동맹' 완성",1291,1547,21,9,70,0,True
2026-06-08,market,"'브로드컴 쇼크'에 AI 거품론 재점화, 글로벌 증시 급락",1107,1374,9,8,51,0,True
2026-06-08,devops,"AI 코딩 180% 폭증, 그런데 배포는 30%뿐",1474,1797,17,4,74,0,True
2026-06-07,apple,"시리, 구글 제미나이 품다",2028,2318,14,11,87,0,True
2026-06-07,openai,"오픈AI, IPO 비공개 신청",2127,2400,23,14,103,0,True
2026-06-07,samsung,모든 업무에 외부 AI 전면 도입,1357,1526,11,2,62,0,True
2026-06-07,market,오픈AI에 600억 전력 장비 공급,1316,1616,11,6,64,0,True
2026-06-03,apple,"시리, 구글 제미나이 품다",1564,1772,30,7,70,0,True
2026-06-03,openai,"오픈AI, IPO 비공개 신청",1236,1488,19,10,68,0,True
2026-06-03,samsung,모든 업무에 외부 AI 전면 도입,1356,1588,11,7,69,0,True
2026-06-03,market,오픈AI에 600억 전력 장비 공급,1252,1390,8,6,45,0,True
2026-06-02,apple,"시리, 구글 제미나이 품다",1816,1999,32,2,99,0,True
2026-06-02,openai,"오픈AI, IPO 비공개 신청",1767,2092,29,4,98,0,True
2026-06-02,samsung,모든 업무에 외부 AI 전면 도입,1255,1523,11,3,53,0,True
2026-06-02,market,오픈AI에 600억 전력 장비 공급,1420,1647,8,8,53,0,True
